Id,ProductCategory__c,PlanCategory__c,AccountCount__c
a08RB00001Z16Q6YAJ,Rendery,,
a08RB00001Z16Q7YAJ,Rendery,Enterprise,5
a08RB00001Z16Q8YAJ,Rendery,Pro,3
a08RB00001Z16Q9YAJ,Rendery,Enterprise,5
a08RB00001Z16QAYAZ,Rendery,Enterprise,5
a08RB00001Z16QBYAZ,knock knock AI,Basic,3
a08RB00001Z16QCYAZ,Rendery,Pro,1
a08RB00001Z16QDYAZ,Rendery,Pro,2
a08RB00001Z16QEYAZ,knock knock AI,Basic,1
a08RB00001Z16QGYAZ,knock knock AI,Basic,1
a08RB00001Z16QHYAZ,Rendery,,
a08RB00001Z16QIYAZ,Rendery,Pro,3
a08RB00001Z16QJYAZ,Rendery,Basic,1
a08RB00001Z16QKYAZ,受託開発,,
a08RB00001Z16QLYAZ,knock knock AI,Pro,1
a08RB00001Z16QMYAZ,Rendery,Pro,1
a08RB00001Z16QNYAZ,knock knock AI,,
a08RB00001Z16QOYAZ,Rendery,Enterprise,10
a08RB00001Z16QPYAZ,knock knock AI,Basic,1
a08RB00001Z16QQYAZ,knock knock AI,,
a08RB00001Z16QRYAZ,Rendery,Pro,3
a08RB00001Z16QSYAZ,Rendery,,
a08RB00001Z16QTYAZ,Rendery,Pro,1
a08RB00001Z16QUYAZ,受託開発,,
a08RB00001Z16QVYAZ,Rendery,Enterprise,5
a08RB00001Z16QWYAZ,knock knock AI,Pro,1
a08RB00001Z16QXYAZ,Rendery,Enterprise,5
a08RB00001Z16QYYAZ,knock knock AI,Enterprise,2
a08RB00001Z16QZYAZ,Rendery,Pro,1
a08RB00001Z16QaYAJ,Rendery,Pro,2
a08RB00001Z16QbYAJ,knock knock AI,Basic,1
a08RB00001Z16QcYAJ,knock knock AI,Enterprise,2
a08RB00001Z16QfYAJ,Rendery,,
a08RB00001Z16QgYAJ,Rendery,Enterprise,5
a08RB00001Z16QhYAJ,knock knock AI,Pro,1
a08RB00001Z16QiYAJ,Rendery,Pro,1
a08RB00001Z16QjYAJ,Rendery,Pro,1
a08RB00001Z16QkYAJ,Rendery,Pro,3
a08RB00001Z16QlYAJ,knock knock AI,Basic,1
a08RB00001Z16QmYAJ,Rendery,Enterprise,6
a08RB00001Z16QnYAJ,Rendery,Enterprise,5
a08RB00001Z16QoYAJ,Rendery,Enterprise,13
a08RB00001Z16QpYAJ,Rendery,Basic,1
a08RB00001Z16QqYAJ,Rendery,Enterprise,12
a08RB00001Z16QrYAJ,Rendery,Pro,1
