"Id","Name","FreeeInvoiceId__c","BillingDate__c","InvoiceAmount__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","CreatedInvoice__r.Name","ImportStatus__c","ValidationMessage__c"
"a0FRB00000UtJvB2AV","MFIW-000022","53825605","2026-03-13","12870000","001RB00001VcyFMYAZ","a04RB00000kVL7XYAW","a0BRB00000ypw6A2AQ","a00RB000024Ux4JYAS","INV-0000000012","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtK9v2AF","MFIW-000044","54113194","2026-03-20","500500","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","a00RB000024Ux4eYAC","INV-0000000033","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"a0FRB00000UtKGA2A3","MFIW-000056","54891605","2026-03-27","176000","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","a00RB000024Ux4oYAC","INV-0000000043","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKjB2AV","MFIW-000087","58268807","2026-05-12","0","001RB00001VTrkUYAT","a04RB00000kVL7OYAW","a0BRB00000ypw5v2AA","a00RB000024Ux5JYAS","INV-0000000074","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000Usb9g2AB","MFIW-000090","58486360","2026-05-15","3168000","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","a00RB000024Ux4DYAS","INV-0000000006","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKw62AF","MFIW-000116","58940950","2026-05-22","165000","001RB00001VcyFKYAZ","a04RB00000kVL7KYAW","a0BRB00000ypw5r2AA","a00RB000024Ux5jYAC","INV-0000000100","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtM9v2AF","MFIW-000127","60979452","2026-06-19","26400","001RB00001UvdpFYAR","a04RB00000n5JdhYAE","a0BRB000012EChB2AW","a00RB000023liu7YAA","INV-0000000003","反映済み",""
"a0FRB00000Wifcv2AB","MFIW-000158","60861151","2026-06-20","12100","001RB00001VTqfsYAD","a04RB00000kUAPzYAO","a0BRB0000124lpu2AA","a00RB000027flsLYAQ","INV-0000000133","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaJ2AR","MFIW-000164","60792923","2026-06-20","324500","001RB00001VTrvcYAD","a04RB00000n5JdpYAE","a0BRB000012EChJ2AW","a00RB00002B4i3KYAR","INV-0000000308","反映済み",""
"a0FRB00000WicaL2AR","MFIW-000166","60861149","2026-06-20","12100","001RB00001VTtIfYAL","a04RB00000kUAQ0YAO","a0BRB00000ynn5s2AA","a00RB000027fzNjYAI","INV-0000000152","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaN2AR","MFIW-000168","60861154","2026-06-20","12100","001RB00001VTtIcYAL","a04RB00000n5JdqYAE","a0BRB000012EChK2AW","a00RB00002B4i3LYAR","INV-0000000309","反映済み",""
"a0FRB00000WicaO2AR","MFIW-000169","60861155","2026-06-20","12100","001RB00001br9KVYAY","a04RB00000n5JdrYAE","a0BRB000012EChL2AW","a00RB00002B4i3MYAR","INV-0000000310","反映済み",""
"a0FRB00000WicaP2AR","MFIW-000170","60861156","2026-06-20","12100","001RB00001VTqaKYAT","a04RB00000kUAPnYAO","a0BRB00000ynn5f2AA","a00RB000027fzNlYAI","INV-0000000154","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaQ2AR","MFIW-000171","60861157","2026-06-20","12100","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA","a00RB000027fzNmYAI","INV-0000000155","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaS2AR","MFIW-000173","60861159","2026-06-20","12100","001RB00001br9KKYAY","a04RB00000n5JdsYAE","a0BRB000012EChM2AW","","","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaU2AR","MFIW-000175","60861162","2026-06-20","36300","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ","a00RB000027fzNnYAI","INV-0000000156","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WicaV2AR","MFIW-000176","60861164","2026-06-20","12100","001RB00001VTqZVYA1","a04RB00000kUAPXYA4","a0BRB00000ynn5P2AQ","a00RB000027fzNoYAI","INV-0000000157","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaW2AR","MFIW-000177","60861166","2026-06-20","12100","001RB00001VTqZpYAL","a04RB00000kUAPVYA4","a0BRB00000ynn5N2AQ","a00RB000027fzNpYAI","INV-0000000158","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaX2AR","MFIW-000178","60861167","2026-06-20","8800","001RB00001br9KSYAY","a04RB00000n5JdtYAE","a0BRB000012EChN2AW","a00RB00002B4i3NYAR","INV-0000000311","反映済み",""
"a0FRB00000WhTPL2A3","MFIW-000179","60861169","2026-06-20","12100","001RB00001br9KgYAI","a04RB00000n5JdiYAE","a0BRB000012EChC2AW","a00RB00002B4i3EYAR","INV-0000000302","反映済み",""
"a0FRB00000WhTPM2A3","MFIW-000180","60861170","2026-06-20","48400","001RB00001br9KfYAI","a04RB00000n5JdjYAE","a0BRB000012EChD2AW","a00RB00002B4i3FYAR","INV-0000000303","反映済み",""
"a0FRB00000WhTPN2A3","MFIW-000181","60861171","2026-06-20","8800","001RB00001br9KNYAY","a04RB00000n5JdkYAE","a0BRB000012EChE2AW","a00RB00002B4i3GYAR","INV-0000000304","反映済み",""
"a0FRB00000WhTPT2A3","MFIW-000187","60861179","2026-06-20","8800","001RB00001br9KLYAY","a04RB00000n5JdlYAE","a0BRB000012EChF2AW","a00RB00002B4i3HYAR","INV-0000000305","反映済み",""
"a0FRB00000WhTPV2A3","MFIW-000189","60861181","2026-06-20","48400","001RB00001br9KMYAY","a04RB00000n5JdmYAE","a0BRB000012EChG2AW","","","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン」の商品マスタを確認してください。"
"a0FRB00000WhTPZ2A3","MFIW-000193","60861185","2026-06-20","12100","001RB00001VTqZWYA1","a04RB00000kUAPjYAO","a0BRB00000ynn5b2AA","a00RB000027fzNZYAY","INV-0000000142","要確認","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPa2AN","MFIW-000194","60861186","2026-06-20","12100","001RB00001VTqnbYAD","a04RB00000kUAQ2YAO","a0BRB00000ynn5u2AA","a00RB000027fzNaYAI","INV-0000000143","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WhTPb2AN","MFIW-000195","60861187","2026-06-20","12100","001RB00001VTqnHYAT","a04RB00000kUAQ3YAO","a0BRB00000ynn5v2AA","a00RB000027fzNbYAI","INV-0000000144","要確認","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
