"Id","Name","FreeeInvoiceId__c","ImportStatus__c","CreatedInvoice__c","CreatedInvoiceFreeeId","CreatedInvoiceExternalKey","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000Usb9g2AB","MFIW-000090","58486360","要確認","a00RB000024Ux4DYAS","58486360","freee_invoice:3687550:58486360","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtJvB2AV","MFIW-000022","53825605","要確認","a00RB000024Ux4JYAS","53825605","freee_invoice:3687550:53825605","001RB00001VcyFMYAZ","a04RB00000kVL7XYAW","a0BRB00000ypw6A2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtK9v2AF","MFIW-000044","54113194","要確認","a00RB000024Ux4eYAC","54113194","freee_invoice:3687550:54113194","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「VISIOAL＿ベーシックプラン」の商品マスタを確認してください。"
"a0FRB00000UtKGA2A3","MFIW-000056","54891605","要確認","a00RB000024Ux4oYAC","54891605","freee_invoice:3687550:54891605","001RB00001VTraTYAT","a04RB00000kUAOUYA4","a0BRB00000ynb6P2AQ","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKjB2AV","MFIW-000087","58268807","要確認","a00RB000024Ux5JYAS","58268807","freee_invoice:3687550:58268807","001RB00001VTrkUYAT","a04RB00000kVL7OYAW","a0BRB00000ypw5v2AA","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000UtKw62AF","MFIW-000116","58940950","要確認","a00RB000024Ux5jYAC","58940950","freee_invoice:3687550:58940950","001RB00001VcyFKYAZ","a04RB00000kVL7KYAW","a0BRB00000ypw5r2AA","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WhTPS2A3","MFIW-000186","60861177","要確認","a00RB000027fzNUYAY","60861177","freee_invoice:3687550:60861177","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。"
"a0FRB00000WhTPX2A3","MFIW-000191","60861183","要確認","a00RB000027fzNXYAY","60861183","freee_invoice:3687550:60861183","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery(エンタープライズプラン)」の商品マスタを確認してください。"
"a0FRB00000WhTPY2A3","MFIW-000192","60861184","要確認","a00RB000027fzNYYAY","60861184","freee_invoice:3687550:60861184","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPZ2A3","MFIW-000193","60861185","要確認","a00RB000027fzNZYAY","60861185","freee_invoice:3687550:60861185","001RB00001VTqZWYA1","a04RB00000kUAPjYAO","a0BRB00000ynn5b2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPa2AN","MFIW-000194","60861186","要確認","a00RB000027fzNaYAI","60861186","freee_invoice:3687550:60861186","001RB00001VTqnbYAD","a04RB00000kUAQ2YAO","a0BRB00000ynn5u2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WhTPb2AN","MFIW-000195","60861187","要確認","a00RB000027fzNbYAI","60861187","freee_invoice:3687550:60861187","001RB00001VTqnHYAT","a04RB00000kUAQ3YAO","a0BRB00000ynn5v2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaL2AR","MFIW-000166","60861149","要確認","a00RB000027fzNjYAI","60861149","freee_invoice:3687550:60861149","001RB00001VTtIfYAL","a04RB00000kUAQ0YAO","a0BRB00000ynn5s2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaM2AR","MFIW-000167","60861153","要確認","a00RB000027fzNkYAI","60861153","freee_invoice:3687550:60861153","001RB00001VTtIdYAL","a04RB00000kUAPxYAO","a0BRB00000ynn5p2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「KnockKnockAI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaP2AR","MFIW-000170","60861156","要確認","a00RB000027fzNlYAI","60861156","freee_invoice:3687550:60861156","001RB00001VTqaKYAT","a04RB00000kUAPnYAO","a0BRB00000ynn5f2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaQ2AR","MFIW-000171","60861157","要確認","a00RB000027fzNmYAI","60861157","freee_invoice:3687550:60861157","001RB00001VTtIXYA1","a04RB00000kUAPlYAO","a0BRB00000ynn5d2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaU2AR","MFIW-000175","60861162","要確認","a00RB000027fzNnYAI","60861162","freee_invoice:3687550:60861162","001RB00001VTqaGYAT","a04RB00000kUAPbYAO","a0BRB00000ynn5T2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン(月額)」の商品マスタを確認してください。"
"a0FRB00000WicaV2AR","MFIW-000176","60861164","要確認","a00RB000027fzNoYAI","60861164","freee_invoice:3687550:60861164","001RB00001VTqZVYA1","a04RB00000kUAPXYA4","a0BRB00000ynn5P2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000WicaW2AR","MFIW-000177","60861166","要確認","a00RB000027fzNpYAI","60861166","freee_invoice:3687550:60861166","001RB00001VTqZpYAL","a04RB00000kUAPVYA4","a0BRB00000ynn5N2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「knock knock AI_Basicプラン」の商品マスタを確認してください。"
"a0FRB00000Wifcv2AB","MFIW-000158","60861151","要確認","a00RB000027flsLYAQ","60861151","freee_invoice:3687550:60861151","001RB00001VTqfsYAD","a04RB00000kUAPzYAO","a0BRB0000124lpu2AA","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"a0FRB00000WihDL2AZ","MFIW-000201","60900081","要確認","a00RB000027fzNsYAI","60900081","freee_invoice:3687550:60900081","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery　エンタープライズプラン」の商品マスタを確認してください。"
"a0FRB00000WihDM2AZ","MFIW-000202","60901483","要確認","a00RB000027fzNtYAI","60901483","freee_invoice:3687550:60901483","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_月額利用料_注文番号：405342480」の商品マスタを確認してください。"
"a0FRB00000WihDX2AZ","MFIW-000213","60953208","要確認","a00RB000027fzNwYAI","60953208","freee_invoice:3687550:60953208","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ","請求明細の件名と商品マスタ名が類似していないため、請求作成を停止しました。金額一致だけで商品が選ばれている可能性があります。明細「Rendery_Pro_1アカウント年間利用料(アーキデザイン株式会社様)」の商品マスタを確認してください。"
